student_id,age,gender,origin,hs_gpa,admission_score,first_sem_gpa,socioeconomic_level,scholarship,loan,financial_aid,dropout
1,,Female,Urban,2.337818466831937,58.764940226220446,3.1462248600233633,3.0,No,Yes,Yes,1
2,27.0,Male,Rural,3.1969928328782116,91.3249459364558,4.053679640704247,3.0,Yes,Yes,No,0
3,28.0,Male,Urban,2.3843793069794117,65.59247855234813,2.935686074707862,2.0,No,No,Yes,0
4,33.0,Female,Urban,3.640775464429445,53.67431915634897,2.861004908482573,2.0,No,No,Yes,0
5,26.0,Male,Urban,3.6027218328919424,70.05358884783196,4.943606124467719,3.0,No,No,No,0
6,30.0,Female,Urban,2.594655297862105,68.69959843345974,2.4964946537269395,4.0,No,Yes,No,0
7,31.0,Female,Rural,4.0129009002767635,68.83185957647595,2.7620851546105274,3.0,No,No,Yes,0
8,20.0,Male,Rural,4.1201148508291325,64.24524540236517,3.1883089299341307,3.0,No,No,No,1
9,17.0,Female,Urban,3.6575110734559564,66.2790760631286,,4.0,Yes,No,No,0
10,,Female,Urban,4.60059978110792,64.52910693338772,1.4660622930656015,4.0,Yes,Yes,No,1
11,21.0,Male,Urban,4.722999326271472,74.00687975774412,3.9974768098802738,2.0,Yes,No,No,0
12,32.0,Male,Rural,2.8764036022162505,60.24712159065015,2.525384648811788,2.0,Yes,No,Yes,1
13,33.0,Female,Rural,4.222023086280636,66.52426841499222,2.7201697554082047,4.0,No,No,No,0
14,16.0,Male,Urban,3.864508727228272,68.27111325328092,,3.0,No,No,No,1
15,25.0,Male,Urban,3.850991865928034,85.66889087624945,2.367887192797845,5.0,No,Yes,No,0
16,31.0,Female,Urban,4.160668510587891,74.48093360908193,2.293842145624023,1.0,No,No,No,0
17,18.0,Female,Urban,3.168499322424952,68.6835966382637,3.281615001844815,3.0,No,No,No,0
18,31.0,Male,Rural,3.244576540064987,76.43425564785515,5.0,3.0,No,Yes,Yes,0
19,,Female,Urban,3.1039967327427993,74.87341944251264,3.7420602245902628,2.0,Yes,Yes,No,0
20,24.0,Male,Urban,3.147058575982607,83.0540182790847,3.7504344369504157,5.0,No,Yes,No,0
21,31.0,Female,Urban,3.540892959492506,76.07815854919612,1.948651814159409,2.0,No,No,No,1
22,21.0,Male,Urban,2.728905499064963,91.52692834661516,3.1336297107504074,5.0,Yes,No,No,0
23,22.0,Female,Rural,2.9725635738061706,86.1354045559973,2.206307312938942,5.0,No,Yes,No,1
24,21.0,Female,Urban,3.946516973436522,69.50798309012363,3.770634226890438,6.0,No,Yes,Yes,0
25,29.0,Male,Rural,3.557422370886118,65.02588429753476,2.9704794948450712,2.0,No,No,No,1
26,20.0,Male,Urban,3.829772874538848,80.59066904109885,3.1834456485297613,2.0,No,No,No,0
27,34.0,Female,Urban,2.4664437100715095,76.19954838867129,3.082078843903594,1.0,No,No,No,1
28,24.0,Male,Rural,3.1296880403039222,68.86517240876552,2.6860572194083527,3.0,No,Yes,No,0
29,25.0,Female,Urban,3.266746408356162,52.276581621408816,1.935783142418341,5.0,No,Yes,No,1
30,25.0,Female,Urban,3.6195208888542574,48.011513891915214,3.6165519880468717,4.0,No,No,No,0
31,27.0,Female,Urban,3.2482294970075176,74.17910260834168,2.046478144739056,2.0,Yes,Yes,No,1
32,26.0,Female,Urban,4.159928775903856,79.25010718554428,2.2083069721453303,2.0,No,Yes,No,1
33,25.0,Female,Urban,3.565034330259929,79.64122578510515,2.9147343201562013,4.0,No,Yes,No,0
34,34.0,Male,Urban,3.610208496358549,54.553938838433695,,4.0,No,No,No,0
35,31.0,Male,Urban,3.6081229037955014,82.44812610931803,3.362186758942855,1.0,No,Yes,Yes,0
36,31.0,Female,Rural,4.02479126966047,63.59011221318068,3.9611811070522225,4.0,No,No,Yes,0
37,29.0,Female,Urban,3.3170275726716163,74.6610582612857,3.351904643638845,2.0,No,Yes,No,1
38,27.0,Female,Urban,4.273436269363971,75.00029649601998,,3.0,No,Yes,No,0
39,22.0,Male,Urban,3.8760351616135864,60.370162773163365,3.171462899012724,2.0,Yes,No,No,0
40,34.0,Male,Urban,3.6924221619289983,62.904099412198015,3.8392338535601054,6.0,No,Yes,Yes,0
41,24.0,Male,Urban,3.625041892528724,45.123367081317824,1.6761405930120512,3.0,No,Yes,No,1
42,20.0,Male,Urban,3.912182380729578,58.999113451048046,3.4465143731090606,4.0,No,Yes,No,0
43,32.0,Male,Urban,4.209234922757432,48.36949529015508,2.4065406210009006,2.0,Yes,Yes,Yes,1
44,,Male,Urban,4.167316530230996,75.24828557761472,2.1664707480605347,3.0,,No,No,0
